cellI,x,y,z,S,epsilon,k,nut
61003,1.43907563,0.09,0.0007,1.960784e-06,7.476243985,0.06321721096,4.470997085e-06
61004,1.44047619,0.09,0.0007,1.9607854e-06,7.475990489,0.06321597305,4.470944363e-06
61005,1.441876751,0.09,0.0007,1.960784e-06,7.475738099,0.06321474052,4.47089187e-06
61006,1.443277311,0.09,0.0007,1.960784e-06,7.475486798,0.06321351329,4.470839603e-06
61007,1.444677871,0.09,0.0007,1.960784e-06,7.475236572,0.06321229129,4.470787559e-06
61008,1.446078431,0.09,0.0007,1.960784e-06,7.474987405,0.06321107444,4.470735733e-06
61009,1.447478991,0.09,0.0007,1.9607854e-06,7.474739281,0.06320986267,4.470684124e-06
61010,1.448879552,0.09,0.0007,1.960784e-06,7.474492182,0.06320865589,4.470632726e-06
61011,1.450280112,0.09,0.0007,1.960784e-06,7.474246089,0.063207454,4.470581537e-06
61012,1.451680672,0.09,0.0007,1.960784e-06,7.474000984,0.06320625692,4.470530552e-06
61013,1.453081232,0.09,0.0007,1.9607854e-06,7.473756846,0.06320506455,4.470479768e-06
61014,1.454481793,0.09,0.0007,1.960784e-06,7.473513654,0.06320387679,4.470429179e-06
61015,1.455882353,0.09,0.0007,1.960784e-06,7.473271388,0.06320269352,4.470378782e-06
61016,1.457282913,0.09,0.0007,1.960784e-06,7.473030022,0.06320151464,4.470328572e-06
61017,1.458683473,0.09,0.0007,1.9607854e-06,7.472789536,0.06320034004,4.470278543e-06
61018,1.460084034,0.09,0.0007,1.960784e-06,7.472549903,0.06319916959,4.470228691e-06
61019,1.461484594,0.09,0.0007,1.960784e-06,7.472311098,0.06319800316,4.47017901e-06
61020,1.462885154,0.09,0.0007,1.960784e-06,7.472073093,0.06319684063,4.470129495e-06
61021,1.464285714,0.09,0.0007,1.960784e-06,7.471835858,0.06319568184,4.470080139e-06
61022,1.465686274,0.09,0.0007,1.9607854e-06,7.47159936,0.06319452664,4.470030936e-06
61023,1.467086835,0.09,0.0007,1.960784e-06,7.471363567,0.06319337486,4.469981878e-06
61024,1.468487395,0.09,0.0007,1.960784e-06,7.471128439,0.06319222632,4.469932958e-06
61025,1.469887955,0.09,0.0007,1.960784e-06,7.470893938,0.06319108082,4.469884168e-06
61026,1.471288515,0.09,0.0007,1.9607854e-06,7.470660017,0.06318993814,4.469835497e-06
61027,1.472689076,0.09,0.0007,1.960784e-06,7.470426628,0.06318879804,4.469786937e-06
61028,1.474089636,0.09,0.0007,1.960784e-06,7.470193714,0.06318766025,4.469738474e-06
61029,1.475490196,0.09,0.0007,1.960784e-06,7.469961215,0.06318652448,4.469690098e-06
61030,1.476890756,0.09,0.0007,1.960784e-06,7.469729059,0.06318539036,4.469641792e-06
61031,1.478291317,0.09,0.0007,1.9607854e-06,7.469497168,0.06318425751,4.46959354e-06
61032,1.479691877,0.09,0.0007,1.960784e-06,7.469265447,0.06318312549,4.469545323e-06
61033,1.481092437,0.09,0.0007,1.960784e-06,7.46903379,0.06318199376,4.469497119e-06
61034,1.482492997,0.09,0.0007,1.960784e-06,7.468802072,0.06318086172,4.469448901e-06
61035,1.483893557,0.09,0.0007,1.9607854e-06,7.468570149,0.06317972867,4.46940064e-06
61036,1.485294118,0.09,0.0007,1.960784e-06,7.468337851,0.06317859376,4.4693523e-06
61037,1.486694678,0.09,0.0007,1.960784e-06,7.468104984,0.06317745606,4.469303841e-06
61038,1.488095238,0.09,0.0007,1.960784e-06,7.46787132,0.06317631445,4.469255216e-06
61039,1.489495798,0.09,0.0007,1.960784e-06,7.467636603,0.06317516769,4.46920637e-06
61040,1.490896358,0.09,0.0007,1.9607854e-06,7.467400546,0.06317401435,4.469157245e-06
61041,1.492296919,0.09,0.0007,1.960784e-06,7.467162844,0.06317285297,4.469107777e-06
61042,1.493697479,0.09,0.0007,1.960784e-06,7.4669232,0.06317168207,4.469057904e-06
61043,1.495098039,0.09,0.0007,1.960784e-06,7.466681387,0.06317050057,4.469007578e-06
