cellI,x,y,z,S,Ux,Uy,Uz
52997,0.2099292149,0.09,0.00065,1.68983269e-06,0,0,0
52998,0.2112290862,0.09,0.00065,1.68983269e-06,0,0,0
52999,0.2125289576,0.09,0.00065,1.68983269e-06,0,0,0
53000,0.2138288288,0.09,0.00065,1.68983269e-06,0,0,0
53001,0.2151287002,0.09,0.00065,1.68983269e-06,0,0,0
53002,0.2164285714,0.09,0.00065,1.68983269e-06,0,0,0
53003,0.2177284428,0.09,0.00065,1.68983269e-06,0,0,0
53004,0.2190283141,0.09,0.00065,1.68983269e-06,0,0,0
53005,0.2203281853,0.09,0.00065,1.68983269e-06,0,0,0
53006,0.2216280567,0.09,0.00065,1.68983269e-06,0,0,0
53007,0.2229279279,0.09,0.00065,1.68983269e-06,0,0,0
53008,0.2242277992,0.09,0.00065,1.68983269e-06,0,0,0
53009,0.2255276706,0.09,0.00065,1.68983269e-06,0,0,0
53010,0.2268275418,0.09,0.00065,1.68983269e-06,0,0,0
53011,0.2281274132,0.09,0.00065,1.68983269e-06,0,0,0
53012,0.2294272844,0.09,0.00065,1.68983269e-06,0,0,0
53013,0.2307271558,0.09,0.00065,1.68983269e-06,0,0,0
53014,0.232027027,0.09,0.00065,1.68983269e-06,0,0,0
53015,0.2333268984,0.09,0.00065,1.68983269e-06,0,0,0
53016,0.2346267697,0.09,0.00065,1.68983269e-06,0,0,0
53017,0.2359266409,0.09,0.00065,1.68983269e-06,0,0,0
53018,0.2372265122,0.09,0.00065,1.68983269e-06,0,0,0
53019,0.2385263835,0.09,0.00065,1.68983269e-06,0,0,0
53020,0.2398262548,0.09,0.00065,1.68983269e-06,0,0,0
53021,0.2411261262,0.09,0.00065,1.68983269e-06,0,0,0
53022,0.2424259974,0.09,0.00065,1.68983269e-06,0,0,0
53023,0.2437258687,0.09,0.00065,1.68983269e-06,0,0,0
53024,0.24502574,0.09,0.00065,1.68983269e-06,0,0,0
53025,0.2463256114,0.09,0.00065,1.68983269e-06,0,0,0
53026,0.2476254827,0.09,0.00065,1.68983269e-06,0,0,0
53027,0.2489253539,0.09,0.00065,1.68983269e-06,0,0,0
53028,0.2502252253,0.09,0.00065,1.68983269e-06,0,0,0
53029,0.2515250965,0.09,0.00065,1.68983269e-06,0,0,0
53030,0.2528249678,0.09,0.00065,1.68983269e-06,0,0,0
53031,0.2541248392,0.09,0.00065,1.68983269e-06,0,0,0
53032,0.2554247104,0.09,0.00065,1.68983269e-06,0,0,0
53033,0.2567245818,0.09,0.00065,1.68983269e-06,0,0,0
53034,0.258024453,0.09,0.00065,1.68983269e-06,0,0,0
53035,0.2593243243,0.09,0.00065,1.68983269e-06,0,0,0
53036,0.2606241957,0.09,0.00065,1.68983269e-06,0,0,0
53037,0.261924067,0.09,0.00065,1.68983269e-06,0,0,0
53038,0.2632239383,0.09,0.00065,1.68983269e-06,0,0,0
53039,0.2645238095,0.09,0.00065,1.68983269e-06,0,0,0
53040,0.2658236809,0.09,0.00065,1.68983269e-06,0,0,0
53041,0.2671235521,0.09,0.00065,1.68983269e-06,0,0,0
53042,0.2684234234,0.09,0.00065,1.68983269e-06,0,0,0
53043,0.2697232947,0.09,0.00065,1.68983269e-06,0,0,0
53044,0.271023166,0.09,0.00065,1.68983269e-06,0,0,0
53045,0.2723230374,0.09,0.00065,1.68983269e-06,0,0,0
53046,0.2736229086,0.09,0.00065,1.68983269e-06,0,0,0
53047,0.2749227799,0.09,0.00065,1.68983269e-06,0,0,0
53048,0.2762226512,0.09,0.00065,1.68983269e-06,0,0,0
53049,0.2775225225,0.09,0.00065,1.68983269e-06,0,0,0
53050,0.2788223938,0.09,0.00065,1.68983269e-06,0,0,0
53051,0.2801222651,0.09,0.00065,1.68983269e-06,0,0,0
53052,0.2814221364,0.09,0.00065,1.68983269e-06,0,0,0
53053,0.2827220078,0.09,0.00065,1.68983269e-06,0,0,0
53054,0.284021879,0.09,0.00065,1.68983269e-06,0,0,0
53055,0.2853217504,0.09,0.00065,1.68983269e-06,0,0,0
53056,0.2866216216,0.09,0.00065,1.68983269e-06,0,0,0
53057,0.2879214929,0.09,0.00065,1.68983269e-06,0,0,0
53058,0.2892213643,0.09,0.00065,1.68983269e-06,0,0,0
53059,0.2905212355,0.09,0.00065,1.68983269e-06,0,0,0
53060,0.2918211068,0.09,0.00065,1.68983269e-06,0,0,0
53061,0.2931209781,0.09,0.00065,1.68983269e-06,0,0,0
53062,0.2944208495,0.09,0.00065,1.68983269e-06,0,0,0
53063,0.2957207207,0.09,0.00065,1.68983269e-06,0,0,0
53064,0.297020592,0.09,0.00065,1.68983269e-06,0,0,0
53065,0.2983204633,0.09,0.00065,1.68983269e-06,0,0,0
53066,0.2996203346,0.09,0.00065,1.68983269e-06,0,0,0
53067,0.3009202059,0.09,0.00065,1.68983269e-06,0,0,0
53068,0.3022200772,0.09,0.00065,1.68983269e-06,0,0,0
53069,0.3035199485,0.09,0.00065,1.68983269e-06,0,0,0
53070,0.3048198199,0.09,0.00065,1.68983269e-06,0,0,0
53071,0.3061196911,0.09,0.00065,1.68983269e-06,0,0,0
53072,0.3074195625,0.09,0.00065,1.68983269e-06,0,0,0
53073,0.3087194337,0.09,0.00065,1.68983269e-06,0,0,0
53074,0.3100193051,0.09,0.00065,1.68983269e-06,0,0,0
53075,0.3113191764,0.09,0.00065,1.68983269e-06,0,0,0
53076,0.3126190477,0.09,0.00065,1.68983269e-06,0,0,0
53077,0.313918919,0.09,0.00065,1.68983269e-06,0,0,0
53078,0.3152187902,0.09,0.00065,1.68983269e-06,0,0,0
53079,0.3165186615,0.09,0.00065,1.68983269e-06,0,0,0
53080,0.3178185328,0.09,0.00065,1.68983269e-06,0,0,0
53081,0.3191184041,0.09,0.00065,1.68983269e-06,0,0,0
53082,0.3204182755,0.09,0.00065,1.68983269e-06,0,0,0
53083,0.3217181467,0.09,0.00065,1.68983269e-06,0,0,0
53084,0.323018018,0.09,0.00065,1.68983269e-06,0,0,0
53085,0.3243178893,0.09,0.00065,1.68983269e-06,0,0,0
53086,0.3256177607,0.09,0.00065,1.68983269e-06,0,0,0
53087,0.326917632,0.09,0.00065,1.68983269e-06,0,0,0
53088,0.3282175032,0.09,0.00065,1.68983269e-06,0,0,0
53089,0.3295173746,0.09,0.00065,1.68983269e-06,0,0,0
53090,0.3308172458,0.09,0.00065,1.68983269e-06,0,0,0
53091,0.3321171172,0.09,0.00065,1.68983269e-06,0,0,0
53092,0.3334169885,0.09,0.00065,1.68983269e-06,0,0,0
53093,0.3347168597,0.09,0.00065,1.68983269e-06,0,0,0
53094,0.336016731,0.09,0.00065,1.68983269e-06,0,0,0
53095,0.3373166023,0.09,0.00065,1.68983269e-06,0,0,0
53096,0.3386164737,0.09,0.00065,1.68983269e-06,0,0,0
53097,0.339916345,0.09,0.00065,1.68983269e-06,0,0,0
53098,0.3412162163,0.09,0.00065,1.68983269e-06,0,0,0
53099,0.3425160876,0.09,0.00065,1.68983269e-06,0,0,0
53100,0.3438159588,0.09,0.00065,1.68983269e-06,0,0,0
53101,0.3451158302,0.09,0.00065,1.68983269e-06,0,0,0
53102,0.3464157014,0.09,0.00065,1.68983269e-06,0,0,0
53103,0.3477155728,0.09,0.00065,1.68983269e-06,0,0,0
53104,0.3490154441,0.09,0.00065,1.68983269e-06,0,0,0
53105,0.3503153153,0.09,0.00065,1.68983269e-06,0,0,0
53106,0.3516151866,0.09,0.00065,1.68983269e-06,0,0,0
53107,0.3529150579,0.09,0.00065,1.68983269e-06,0,0,0
53108,0.3542149293,0.09,0.00065,1.68983269e-06,0,0,0
53109,0.3555148006,0.09,0.00065,1.68983269e-06,0,0,0
53110,0.3568146718,0.09,0.00065,1.68983269e-06,0,0,0
53111,0.3581145432,0.09,0.00065,1.68983269e-06,0,0,0
53112,0.3594144144,0.09,0.00065,1.68983269e-06,0,0,0
53113,0.3607142858,0.09,0.00065,1.68983269e-06,0,0,0
53114,0.362014157,0.09,0.00065,1.68983269e-06,0,0,0
53115,0.3633140283,0.09,0.00065,1.68983269e-06,0,0,0
53116,0.3646138997,0.09,0.00065,1.68983269e-06,0,0,0
53117,0.3659137709,0.09,0.00065,1.68983269e-06,0,0,0
53118,0.3672136423,0.09,0.00065,1.68983269e-06,0,0,0
53119,0.3685135135,0.09,0.00065,1.68983269e-06,0,0,0
53120,0.3698133848,0.09,0.00065,1.68983269e-06,0,0,0
53121,0.3711132561,0.09,0.00065,1.68983269e-06,0,0,0
53122,0.3724131274,0.09,0.00065,1.68983269e-06,0,0,0
53123,0.3737129987,0.09,0.00065,1.68983269e-06,0,0,0
53124,0.3750128701,0.09,0.00065,1.68983269e-06,0,0,0
53125,0.3763127413,0.09,0.00065,1.68983269e-06,0,0,0
53126,0.3776126126,0.09,0.00065,1.68983269e-06,0,0,0
53127,0.3789124839,0.09,0.00065,1.68983269e-06,0,0,0
53128,0.3802123553,0.09,0.00065,1.68983269e-06,0,0,0
53129,0.3815122265,0.09,0.00065,1.68983269e-06,0,0,0
53130,0.3828120978,0.09,0.00065,1.68983269e-06,0,0,0
53131,0.3841119692,0.09,0.00065,1.68983269e-06,0,0,0
53132,0.3854118404,0.09,0.00065,1.68983269e-06,0,0,0
53133,0.3867117118,0.09,0.00065,1.68983269e-06,0,0,0
53134,0.388011583,0.09,0.00065,1.68983269e-06,0,0,0
53135,0.3893114543,0.09,0.00065,1.68983269e-06,0,0,0
53136,0.3906113256,0.09,0.00065,1.68983269e-06,0,0,0
53137,0.3919111969,0.09,0.00065,1.68983269e-06,0,0,0
53138,0.3932110683,0.09,0.00065,1.68983269e-06,0,0,0
53139,0.3945109395,0.09,0.00065,1.68983269e-06,0,0,0
53140,0.3958108108,0.09,0.00065,1.68983269e-06,0,0,0
53141,0.3971106822,0.09,0.00065,1.68983269e-06,0,0,0
53142,0.3984105534,0.09,0.00065,1.68983269e-06,0,0,0
53143,0.3997104248,0.09,0.00065,1.68983269e-06,0,0,0
53144,0.4010102961,0.09,0.00065,1.68983269e-06,0,0,0
53145,0.4023101674,0.09,0.00065,1.68983269e-06,0,0,0
53146,0.4036100386,0.09,0.00065,1.68983269e-06,0,0,0
53147,0.4049099099,0.09,0.00065,1.68983269e-06,0,0,0
53148,0.4062097812,0.09,0.00065,1.68983269e-06,0,0,0
53149,0.4075096525,0.09,0.00065,1.68983269e-06,0,0,0
53150,0.4088095238,0.09,0.00065,1.68983269e-06,0,0,0
53151,0.4101093951,0.09,0.00065,1.68983269e-06,0,0,0
53152,0.4114092664,0.09,0.00065,1.68983269e-06,0,0,0
53153,0.4127091377,0.09,0.00065,1.68983269e-06,0,0,0
53154,0.414009009,0.09,0.00065,1.68983269e-06,0,0,0
53155,0.4153088803,0.09,0.00065,1.68983269e-06,0,0,0
53156,0.4166087516,0.09,0.00065,1.68983269e-06,0,0,0
53157,0.4179086229,0.09,0.00065,1.68983269e-06,0,0,0
53158,0.4192084942,0.09,0.00065,1.68983269e-06,0,0,0
53159,0.4205083655,0.09,0.00065,1.68983269e-06,0,0,0
53160,0.4218082368,0.09,0.00065,1.68983269e-06,0,0,0
53161,0.4231081081,0.09,0.00065,1.68983269e-06,0,0,0
53162,0.4244079795,0.09,0.00065,1.68983269e-06,0,0,0
53163,0.4257078508,0.09,0.00065,1.68983269e-06,0,0,0
53164,0.4270077221,0.09,0.00065,1.68983269e-06,0,0,0
53165,0.4283075934,0.09,0.00065,1.68983269e-06,0,0,0
53166,0.4296074646,0.09,0.00065,1.68983269e-06,0,0,0
53167,0.430907336,0.09,0.00065,1.68983269e-06,0,0,0
53168,0.4322072072,0.09,0.00065,1.68983269e-06,0,0,0
53169,0.4335070786,0.09,0.00065,1.68983269e-06,0,0,0
53170,0.4348069498,0.09,0.00065,1.68983269e-06,0,0,0
53171,0.4361068211,0.09,0.00065,1.68983269e-06,0,0,0
53172,0.4374066924,0.09,0.00065,1.68983269e-06,0,0,0
53173,0.4387065638,0.09,0.00065,1.68983269e-06,0,0,0
53174,0.4400064351,0.09,0.00065,1.68983269e-06,0,0,0
53175,0.4413063064,0.09,0.00065,1.68983269e-06,0,0,0
53176,0.4426061776,0.09,0.00065,1.68983269e-06,0,0,0
53177,0.443906049,0.09,0.00065,1.68983269e-06,0,0,0
53178,0.4452059202,0.09,0.00065,1.68983269e-06,0,0,0
53179,0.4465057916,0.09,0.00065,1.68983269e-06,0,0,0
53180,0.4478056629,0.09,0.00065,1.68983269e-06,0,0,0
53181,0.4491055341,0.09,0.00065,1.68983269e-06,0,0,0
53182,0.4504054054,0.09,0.00065,1.68983269e-06,0,0,0
53183,0.4517052767,0.09,0.00065,1.68983269e-06,0,0,0
53184,0.4530051481,0.09,0.00065,1.68983269e-06,0,0,0
53185,0.4543050193,0.09,0.00065,1.68983269e-06,0,0,0
53186,0.4556048906,0.09,0.00065,1.68983269e-06,0,0,0
53187,0.4569047619,0.09,0.00065,1.68983269e-06,0,0,0
53188,0.4582046332,0.09,0.00065,1.68983269e-06,0,0,0
53189,0.4595045046,0.09,0.00065,1.68983269e-06,0,0,0
53190,0.4608043759,0.09,0.00065,1.68983269e-06,0,0,0
53191,0.4621042471,0.09,0.00065,1.68983269e-06,0,0,0
53192,0.4634041185,0.09,0.00065,1.68983269e-06,0,0,0
53193,0.4647039897,0.09,0.00065,1.68983269e-06,0,0,0
53194,0.466003861,0.09,0.00065,1.68983269e-06,0,0,0
53195,0.4673037323,0.09,0.00065,1.68983269e-06,0,0,0
53196,0.4686036036,0.09,0.00065,1.68983269e-06,0,0,0
53197,0.469903475,0.09,0.00065,1.68983269e-06,0,0,0
53198,0.4712033462,0.09,0.00065,1.68983269e-06,0,0,0
53199,0.4725032175,0.09,0.00065,1.68983269e-06,0,0,0
53200,0.4738030888,0.09,0.00065,1.68983269e-06,0,0,0
53201,0.4751029602,0.09,0.00065,1.68983269e-06,0,0,0
53202,0.4764028315,0.09,0.00065,1.68983269e-06,0,0,0
53203,0.4777027027,0.09,0.00065,1.68983269e-06,0,0,0
53204,0.4790025741,0.09,0.00065,1.68983269e-06,0,0,0
