cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
5528,(0.1163384814 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1163384814 0.01 0.00065) (0.1163384814 0.01155827869 0.00065) (0.1163384814 0.01285483606 0.00065)),2(6305 7082)
5529,(0.1176383526 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1176383526 0.01 0.00065) (0.1176383526 0.01155827869 0.00065) (0.1176383526 0.01285483606 0.00065)),2(6306 7083)
5530,(0.118938224 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.118938224 0.01 0.00065) (0.118938224 0.01155827869 0.00065) (0.118938224 0.01285483606 0.00065)),2(6307 7084)
5531,(0.1202380952 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1202380952 0.01 0.00065) (0.1202380952 0.01155827869 0.00065) (0.1202380952 0.01285483606 0.00065)),2(6308 7085)
5532,(0.1215379666 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1215379666 0.01 0.00065) (0.1215379666 0.01155827869 0.00065) (0.1215379666 0.01285483606 0.00065)),2(6309 7086)
5533,(0.1228378378 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1228378378 0.01 0.00065) (0.1228378378 0.01155827869 0.00065) (0.1228378378 0.01285483606 0.00065)),2(6310 7087)
5534,(0.1241377091 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1241377091 0.01 0.00065) (0.1241377091 0.01155827869 0.00065) (0.1241377091 0.01285483606 0.00065)),2(6311 7088)
5535,(0.1254375805 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1254375805 0.01 0.00065) (0.1254375805 0.01155827869 0.00065) (0.1254375805 0.01285483607 0.00065)),2(6312 7089)
5536,(0.1267374517 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1267374517 0.01 0.00065) (0.1267374517 0.01155827869 0.00065) (0.1267374517 0.01285483606 0.00065)),2(6313 7090)
5537,(0.128037323 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.128037323 0.01 0.00065) (0.128037323 0.01155827869 0.00065) (0.128037323 0.01285483606 0.00065)),2(6314 7091)
5538,(0.1293371943 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1293371943 0.01 0.00065) (0.1293371943 0.01155827869 0.00065) (0.1293371943 0.01285483606 0.00065)),2(6315 7092)
5539,(0.1306370656 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1306370656 0.01 0.00065) (0.1306370656 0.01155827869 0.00065) (0.1306370656 0.01285483606 0.00065)),2(6316 7093)
5540,(0.1319369369 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1319369369 0.01 0.00065) (0.1319369369 0.01155827869 0.00065) (0.1319369369 0.01285483606 0.00065)),2(6317 7094)
5541,(0.1332368082 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1332368082 0.01 0.00065) (0.1332368082 0.01155827869 0.00065) (0.1332368082 0.01285483606 0.00065)),2(6318 7095)
5542,(0.1345366795 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1345366795 0.01 0.00065) (0.1345366795 0.01155827869 0.00065) (0.1345366795 0.01285483606 0.00065)),2(6319 7096)
5543,(0.1358365508 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1358365508 0.01 0.00065) (0.1358365508 0.01155827869 0.00065) (0.1358365508 0.01285483606 0.00065)),2(6320 7097)
5544,(0.1371364221 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1371364221 0.01 0.00065) (0.1371364221 0.01155827869 0.00065) (0.1371364221 0.01285483606 0.00065)),2(6321 7098)
5545,(0.1384362934 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1384362934 0.01 0.00065) (0.1384362934 0.01155827869 0.00065) (0.1384362934 0.01285483606 0.00065)),2(6322 7099)
5546,(0.1397361647 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1397361647 0.01 0.00065) (0.1397361647 0.01155827869 0.00065) (0.1397361647 0.01285483606 0.00065)),2(6323 7100)
5547,(0.141036036 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.141036036 0.01 0.00065) (0.141036036 0.01155827869 0.00065) (0.141036036 0.01285483606 0.00065)),2(6324 7101)
5548,(0.1423359073 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1423359073 0.01 0.00065) (0.1423359073 0.01155827869 0.00065) (0.1423359073 0.01285483606 0.00065)),2(6325 7102)
5549,(0.1436357786 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1436357786 0.01 0.00065) (0.1436357786 0.01155827869 0.00065) (0.1436357786 0.01285483606 0.00065)),2(6326 7103)
5550,(0.1449356499 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1449356499 0.01 0.00065) (0.1449356499 0.01155827869 0.00065) (0.1449356499 0.01285483606 0.00065)),2(6327 7104)
5551,(0.1462355213 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1462355213 0.01 0.00065) (0.1462355213 0.01155827869 0.00065) (0.1462355213 0.01285483606 0.00065)),2(6328 7105)
5552,(0.1475353925 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1475353925 0.01 0.00065) (0.1475353925 0.01155827869 0.00065) (0.1475353925 0.01285483606 0.00065)),2(6329 7106)
5553,(0.1488352638 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1488352638 0.01 0.00065) (0.1488352638 0.01155827869 0.00065) (0.1488352638 0.01285483606 0.00065)),2(6330 7107)
