cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
5486,4709,(0.06174388674 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06174388674 0.01 0.00065) (0.06174388674 0.01155827869 0.00065) (0.06174388674 0.01285483606 0.00065)),2(6263 7040)
5487,4710,(0.06304375804 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06304375804 0.01 0.00065) (0.06304375804 0.01155827869 0.00065) (0.06304375804 0.01285483606 0.00065)),2(6264 7041)
5488,4711,(0.06434362934 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06434362934 0.01 0.00065) (0.06434362934 0.01155827869 0.00065) (0.06434362934 0.01285483606 0.00065)),2(6265 7042)
5489,4712,(0.06564350064 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06564350064 0.01 0.00065) (0.06564350064 0.01155827869 0.00065) (0.06564350064 0.01285483607 0.00065)),2(6266 7043)
5490,4713,(0.06694337194 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06694337194 0.01 0.00065) (0.06694337194 0.01155827869 0.00065) (0.06694337194 0.01285483606 0.00065)),2(6267 7044)
5491,4714,(0.06824324324 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06824324324 0.01 0.00065) (0.06824324324 0.01155827869 0.00065) (0.06824324324 0.01285483606 0.00065)),2(6268 7045)
5492,4715,(0.06954311454 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06954311454 0.01 0.00065) (0.06954311454 0.01155827869 0.00065) (0.06954311454 0.01285483607 0.00065)),2(6269 7046)
5493,4716,(0.07084298584 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07084298584 0.01 0.00065) (0.07084298584 0.01155827869 0.00065) (0.07084298584 0.01285483606 0.00065)),2(6270 7047)
5494,4717,(0.07214285714 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07214285714 0.01 0.00065) (0.07214285714 0.01155827869 0.00065) (0.07214285714 0.01285483606 0.00065)),2(6271 7048)
5495,4718,(0.07344272844 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07344272844 0.01 0.00065) (0.07344272844 0.01155827869 0.00065) (0.07344272844 0.01285483606 0.00065)),2(6272 7049)
